id,idx,tm_1DUJ,tm_1S2H,rmsd_1DUJ,rmsd_1S2H,lddt_1DUJ,lddt_1S2H,mean_plddt
Mad2_043,043,0.6802284777555554,0.6097795357740384,10.834150314331055,16.608240127563477,0.3617246240601504,0.5274637372013652,63.46
Mad2_044,044,0.7274320117848203,0.5973111549467249,10.475157737731934,16.271692276000977,0.37820197044334974,0.5335372893096283,58.54
Mad2_045,045,0.45401656525564715,0.38091366598817816,12.862252235412598,19.33642578125,0.3589102564102564,0.46336051810985845,51.44
Mad2_046,046,0.7258573562065758,0.6117162746769019,9.239588737487793,13.50273323059082,0.3839003645200486,0.55078125,64.43
Mad2_047,047,0.6488878888586765,0.512698723012995,10.269635200500488,16.017004013061523,0.365316004077472,0.4943380807844968,54.41
Mad2_048,048,0.47432753893315127,0.3892924288202779,16.614364624023438,20.17232322692871,0.33901170351105325,0.4793555501102671,50.24
Mad2_049,049,0.6663072406244382,0.5941380512815626,11.309062004089355,15.965197563171387,0.35830826197639437,0.4995754616854171,61.91
Mad2_050,050,0.7165483117438107,0.60792225706928,10.28574275970459,15.308034896850586,0.3809880239520958,0.5500116713352008,60.4
Mad2_051,051,0.4600508191368401,0.38431530757743704,13.053746223449707,17.143545150756836,0.33123441396508724,0.47030516431924874,57.03
Mad2_052,052,0.4897761888181472,0.3926056616809192,15.816924095153809,19.21564292907715,0.31756919374247894,0.4571224130339058,61.07
Mad2_053,053,0.7153524716327881,0.5957074549036695,6.604989528656006,14.838005065917969,0.3825702519379845,0.5407167908811925,59.23
Mad2_054,054,0.7418799677763774,0.5911088527775916,6.053907871246338,15.389801025390625,0.3720159151193634,0.5191635728324963,63.41
Mad2_055,055,0.60924558688478,0.7553517811749431,10.199187278747559,7.219593048095703,0.3302325581395349,0.6566788164665524,81.97
Mad2_056,056,0.7369015643521367,0.6046576802256879,10.401811599731445,16.283613204956055,0.35190751445086704,0.49576358751808225,65.81
Mad2_057,057,0.41730523042420925,0.5243799793053247,12.785445213317871,9.89307975769043,0.3145548811330298,0.47941041523285155,52.01
Mad2_058,058,0.5032229093323803,0.42061229454728316,15.092435836791992,19.86526870727539,0.3430309441946575,0.45829232283464566,48.66
Mad2_059,059,0.47895249086097064,0.4022968096473978,15.191303253173828,19.06283950805664,0.3226937269372694,0.44776785714285716,55.07
